,league,league_level,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,start_time_interval,GLnum_matches_interval,Totlnum_match_y_m_wd_int,issue
30,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,2:30:00 AM,2021,Jun,1,6,Sunday,early morning,9,19,21,2:00 - 3:59,4,9,0
31,New Zealand Provincial Championship Women,4,New Zealand,Oceania,8,2022-06-04,3:20:00 AM,2022,Jun,1,4,Saturday,early morning,9,19,21,2:00 - 3:59,4,77,1
32,New Zealand Provincial Championship U21,4,New Zealand,Oceania,8,2022-06-04,3:20:00 AM,2022,Jun,1,4,Saturday,early morning,9,19,21,2:00 - 3:59,4,77,0
33,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,8,2022-06-04,3:20:00 AM,2022,Jun,1,4,Saturday,early morning,9,19,21,2:00 - 3:59,4,77,1
34,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,3:20:00 AM,2022,Jun,1,4,Saturday,early morning,9,19,21,2:00 - 3:59,4,77,0
35,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,2:30:00 AM,2021,Jun,1,5,Saturday,early morning,9,19,21,2:00 - 3:59,4,14,0
36,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,2:30:00 AM,2021,Jun,1,5,Saturday,early morning,9,19,21,2:00 - 3:59,4,14,0
37,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,2:30:00 AM,2021,Jun,1,5,Saturday,early morning,9,19,21,2:00 - 3:59,4,14,0
38,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,2:30:00 AM,2021,Jun,1,5,Saturday,early morning,9,19,21,2:00 - 3:59,4,14,1
39,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-27,2:30:00 AM,2021,Jun,4,27,Sunday,early morning,9,2,21,2:00 - 3:59,1,9,0
40,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-26,2:30:00 AM,2021,Jun,4,26,Saturday,early morning,9,2,21,2:00 - 3:59,1,14,0
41,New Zealand Provincial Championship U21,4,New Zealand,Oceania,13,2022-06-06,4:00:00 AM,2022,Jun,1,6,Monday,early morning,1,19,21,4:00 - 5:59,1,3,1
42,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,5:10:00 AM,2022,Jun,1,5,Sunday,early morning,10,19,21,4:00 - 5:59,3,12,0
43,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,5:50:00 AM,2022,Jun,1,5,Sunday,early morning,10,19,21,4:00 - 5:59,3,12,1
44,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,5:50:00 AM,2022,Jun,1,5,Sunday,early morning,10,19,21,4:00 - 5:59,3,12,1
45,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,4:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,6,10,0
46,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,4:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,6,10,0
47,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,5:30:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,6,10,0
48,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,4:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,6,10,0
49,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,4:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,6,10,0
50,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,5:30:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,6,10,0
51,New Zealand Provincial Championship U21,4,New Zealand,Oceania,8,2022-06-04,5:10:00 AM,2022,Jun,1,4,Saturday,early morning,10,19,21,4:00 - 5:59,3,26,0
52,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,5:10:00 AM,2022,Jun,1,4,Saturday,early morning,10,19,21,4:00 - 5:59,3,26,0
53,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,5:50:00 AM,2022,Jun,1,4,Saturday,early morning,10,19,21,4:00 - 5:59,3,26,0
54,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,4:00:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,6,10,0
55,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,4:00:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,6,10,0
