,league,league_level,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,start_time_interval,GLnum_matches_interval,Totlnum_match_y_m_wd_int,issue
709,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,3,2021-03-13,7:00:00 PM,2021,Mar,2,13,Saturday,night,828,566,363,18:00 - 19:59,19,144,0
710,France Cup Women,2,France,Europe,3,2021-03-13,6:00:00 PM,2021,Mar,2,13,Saturday,night,828,566,363,18:00 - 19:59,19,144,0
711,Belgium Liga A,2,Belgium,Europe,8,2022-03-16,7:30:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
712,Belgium Liga A,2,Belgium,Europe,8,2022-03-16,7:30:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,1
713,Belgium Liga A,2,Belgium,Europe,8,2022-03-16,7:30:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
714,Belgium Liga A,2,Belgium,Europe,8,2022-03-16,7:30:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
715,Austria League,2,Austria,Europe,8,2022-03-16,6:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
716,Austria League,2,Austria,Europe,8,2022-03-16,6:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,1
717,Austria League,2,Austria,Europe,8,2022-03-16,7:20:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
718,Slovakia Extraliga Women,3,Slovakia,Europe,8,2022-03-16,6:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
719,Sweden Eliteserien,2,Sweden,Europe,8,2022-03-16,6:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
720,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,8,2022-03-16,7:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
721,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,8,2022-03-16,6:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,1
722,Sweden Eliteserien Women,3,Sweden,Europe,8,2022-03-16,6:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
723,Sweden Eliteserien Women,3,Sweden,Europe,8,2022-03-16,6:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,0
724,Sweden Eliteserien Women,3,Sweden,Europe,8,2022-03-16,6:00:00 PM,2022,Mar,2,16,Wednesday,night,393,566,363,18:00 - 19:59,14,190,1
725,Italy Serie A3,3,Italy,Europe,9,2022-03-09,6:30:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,0
726,France Ligue B,3,France,Europe,9,2022-03-09,6:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,1
727,Slovakia Extraliga Women,3,Slovakia,Europe,9,2022-03-09,6:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,0
728,Slovakia Extraliga Women,3,Slovakia,Europe,9,2022-03-09,6:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,1
729,Denmark Volleyligaen,2,Denmark,Europe,9,2022-03-09,7:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,0
730,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,9,2022-03-09,7:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,1
731,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,9,2022-03-09,7:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,0
732,Slovenia 1A. Dol,3,Slovenia,Europe,9,2022-03-09,6:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,0
733,Slovenia 1A. Dol,3,Slovenia,Europe,9,2022-03-09,7:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,0
734,Slovenia 1A. Dol,3,Slovenia,Europe,9,2022-03-09,7:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,0
735,Slovenia 1A. Dol,3,Slovenia,Europe,9,2022-03-09,7:00:00 PM,2022,Mar,2,9,Wednesday,night,393,566,363,18:00 - 19:59,11,190,1
736,France Ligue A,1,France,Europe,6,2021-03-10,6:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
737,France Ligue A,1,France,Europe,6,2021-03-10,6:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
738,France Ligue A,1,France,Europe,6,2021-03-10,7:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
739,France Ligue B,3,France,Europe,6,2021-03-10,6:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
740,Belgium Liga A,2,Belgium,Europe,6,2021-03-10,6:30:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
741,Belgium Liga A,2,Belgium,Europe,6,2021-03-10,7:30:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
742,Belgium Liga A,2,Belgium,Europe,6,2021-03-10,7:30:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
743,Denmark Volleyligaen,2,Denmark,Europe,6,2021-03-10,6:30:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
744,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,6,2021-03-10,6:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
745,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,6,2021-03-10,7:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
746,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,6,2021-03-10,6:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
747,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,6,2021-03-10,6:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
748,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,6,2021-03-10,7:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
749,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,6,2021-03-10,7:00:00 PM,2021,Mar,2,10,Wednesday,night,393,566,363,18:00 - 19:59,14,88,0
750,France Ligue B,3,France,Europe,6,2021-03-09,7:00:00 PM,2021,Mar,2,9,Tuesday,night,182,566,363,18:00 - 19:59,2,21,1
751,France Ligue B,3,France,Europe,6,2021-03-09,7:00:00 PM,2021,Mar,2,9,Tuesday,night,182,566,363,18:00 - 19:59,2,21,0
752,France Ligue A Women,1,France,Europe,10,2022-03-15,6:00:00 PM,2022,Mar,2,15,Tuesday,night,182,566,363,18:00 - 19:59,3,75,0
753,France Ligue A Women,1,France,Europe,10,2022-03-15,7:00:00 PM,2022,Mar,2,15,Tuesday,night,182,566,363,18:00 - 19:59,3,75,0
754,Sweden Eliteserien,2,Sweden,Europe,10,2022-03-15,6:00:00 PM,2022,Mar,2,15,Tuesday,night,182,566,363,18:00 - 19:59,3,75,0
755,France Ligue A,1,France,Europe,8,2022-03-11,6:00:00 PM,2022,Mar,2,11,Friday,night,209,566,363,18:00 - 19:59,7,102,0
756,France Ligue A,1,France,Europe,8,2022-03-11,7:00:00 PM,2022,Mar,2,11,Friday,night,209,566,363,18:00 - 19:59,7,102,0
757,France Ligue B,3,France,Europe,8,2022-03-11,7:30:00 PM,2022,Mar,2,11,Friday,night,209,566,363,18:00 - 19:59,7,102,0
758,France Ligue A Women,1,France,Europe,8,2022-03-11,7:00:00 PM,2022,Mar,2,11,Friday,night,209,566,363,18:00 - 19:59,7,102,1
759,France Ligue A Women,1,France,Europe,8,2022-03-11,7:00:00 PM,2022,Mar,2,11,Friday,night,209,566,363,18:00 - 19:59,7,102,0
760,Belgium Liga A,2,Belgium,Europe,8,2022-03-11,7:30:00 PM,2022,Mar,2,11,Friday,night,209,566,363,18:00 - 19:59,7,102,1
761,Slovenia 1A. Dol,3,Slovenia,Europe,8,2022-03-11,7:00:00 PM,2022,Mar,2,11,Friday,night,209,566,363,18:00 - 19:59,7,102,0
762,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,6,2021-03-18,6:30:00 PM,2021,Mar,3,18,Thursday,night,110,476,363,18:00 - 19:59,3,38,0
763,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,6,2021-03-18,6:00:00 PM,2021,Mar,3,18,Thursday,night,110,476,363,18:00 - 19:59,3,38,0
764,Denmark Volleyligaen Women,3,Denmark,Europe,6,2021-03-18,6:30:00 PM,2021,Mar,3,18,Thursday,night,110,476,363,18:00 - 19:59,3,38,0
765,Sweden Eliteserien,2,Sweden,Europe,8,2022-03-17,6:00:00 PM,2022,Mar,3,17,Thursday,night,110,476,363,18:00 - 19:59,4,66,0
766,Sweden Eliteserien,2,Sweden,Europe,8,2022-03-17,6:00:00 PM,2022,Mar,3,17,Thursday,night,110,476,363,18:00 - 19:59,4,66,0
767,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,8,2022-03-17,7:00:00 PM,2022,Mar,3,17,Thursday,night,110,476,363,18:00 - 19:59,4,66,0
768,Sweden Eliteserien Women,3,Sweden,Europe,8,2022-03-17,6:00:00 PM,2022,Mar,3,17,Thursday,night,110,476,363,18:00 - 19:59,4,66,0
769,Italy Serie A3,3,Italy,Europe,7,2022-03-20,6:00:00 PM,2022,Mar,3,20,Sunday,night,94,476,363,18:00 - 19:59,3,84,0
770,Italy Serie A3,3,Italy,Europe,7,2022-03-20,6:00:00 PM,2022,Mar,3,20,Sunday,night,94,476,363,18:00 - 19:59,3,84,0
771,Denmark Volleyligaen,2,Denmark,Europe,7,2022-03-20,6:00:00 PM,2022,Mar,3,20,Sunday,night,94,476,363,18:00 - 19:59,3,84,0
772,Italy Serie A3,3,Italy,Europe,3,2021-03-21,6:00:00 PM,2021,Mar,3,21,Sunday,night,94,476,363,18:00 - 19:59,3,28,0
773,Italy Serie A3,3,Italy,Europe,3,2021-03-21,6:00:00 PM,2021,Mar,3,21,Sunday,night,94,476,363,18:00 - 19:59,3,28,0
774,Portugal I Diviṣo,4,Portugal,Europe,3,2021-03-21,6:00:00 PM,2021,Mar,3,21,Sunday,night,94,476,363,18:00 - 19:59,3,28,0
775,Italy Serie A3,3,Italy,Europe,6,2022-03-19,7:30:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
776,France Ligue A,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,1
777,France Ligue A,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
778,France Ligue A,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
779,France Ligue A,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
780,France Ligue A,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
781,France Ligue A,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
782,France Ligue A,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
783,France Ligue A Women,1,France,Europe,6,2022-03-19,6:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
784,France Ligue A Women,1,France,Europe,6,2022-03-19,6:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
785,France Ligue A Women,1,France,Europe,6,2022-03-19,6:30:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
786,France Ligue A Women,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
787,France Ligue A Women,1,France,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
788,Belgium Liga A,2,Belgium,Europe,6,2022-03-19,7:30:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,1
789,Iceland Mizunodeild Women,4,Iceland,Europe,6,2022-03-19,6:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
790,Austria League,2,Austria,Europe,6,2022-03-19,6:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,1
791,Austria League,2,Austria,Europe,6,2022-03-19,6:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
792,Austria League,2,Austria,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
793,Slovakia Extraliga Women,3,Slovakia,Europe,6,2022-03-19,6:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
794,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,6,2022-03-19,6:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
795,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,6,2022-03-19,7:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
796,Portugal Cup,4,Portugal,Europe,6,2022-03-19,6:00:00 PM,2022,Mar,3,19,Saturday,night,828,476,363,18:00 - 19:59,22,300,0
797,Italy Serie A3,3,Italy,Europe,3,2021-03-20,7:30:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
798,Italy Serie A3,3,Italy,Europe,3,2021-03-20,7:30:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
799,Portugal I Diviṣo,4,Portugal,Europe,3,2021-03-20,6:00:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
800,Portugal I Diviṣo,4,Portugal,Europe,3,2021-03-20,7:00:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
801,Portugal I Diviṣo Women,4,Portugal,Europe,3,2021-03-20,6:00:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
802,France Ligue A,1,France,Europe,3,2021-03-20,6:00:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
803,France Ligue A Women,1,France,Europe,3,2021-03-20,6:00:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,1
804,France Ligue A Women,1,France,Europe,3,2021-03-20,7:30:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
805,Belgium Liga A,2,Belgium,Europe,3,2021-03-20,6:30:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
806,Belgium Liga A,2,Belgium,Europe,3,2021-03-20,7:30:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
807,Belgium Liga A,2,Belgium,Europe,3,2021-03-20,7:30:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
808,Austria League Women,3,Austria,Europe,3,2021-03-20,7:15:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
809,Austria League,2,Austria,Europe,3,2021-03-20,6:00:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
810,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,3,2021-03-20,7:30:00 PM,2021,Mar,3,20,Saturday,night,828,476,363,18:00 - 19:59,14,144,0
811,France Ligue A Women,1,France,Europe,6,2021-03-17,7:00:00 PM,2021,Mar,3,17,Wednesday,night,393,476,363,18:00 - 19:59,3,88,0
812,Austria League,2,Austria,Europe,6,2021-03-17,7:20:00 PM,2021,Mar,3,17,Wednesday,night,393,476,363,18:00 - 19:59,3,88,0
813,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,6,2021-03-17,7:00:00 PM,2021,Mar,3,17,Wednesday,night,393,476,363,18:00 - 19:59,3,88,0
814,France Ligue A Women,1,France,Europe,8,2022-03-23,7:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,0
815,Iceland Mizunodeild Women,4,Iceland,Europe,8,2022-03-23,7:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,1
816,Iceland Mizunodeild Women,4,Iceland,Europe,8,2022-03-23,7:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,1
817,Iceland Mizunodeild Women,4,Iceland,Europe,8,2022-03-23,7:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,1
818,Slovakia Extraliga Women,3,Slovakia,Europe,8,2022-03-23,6:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,0
819,Slovakia Extraliga,3,Slovakia,Europe,8,2022-03-23,6:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,1
820,Slovenia 1. Dol Playoffs Women,3,Slovenia,Europe,8,2022-03-23,7:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,1
821,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,8,2022-03-23,6:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,0
822,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,8,2022-03-23,7:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,1
823,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,8,2022-03-23,7:00:00 PM,2022,Mar,3,23,Wednesday,night,393,476,363,18:00 - 19:59,10,190,1
824,Denmark Volleyligaen,2,Denmark,Europe,10,2022-03-22,7:00:00 PM,2022,Mar,3,22,Tuesday,night,182,476,363,18:00 - 19:59,5,75,0
825,Denmark Volleyligaen,2,Denmark,Europe,10,2022-03-22,7:00:00 PM,2022,Mar,3,22,Tuesday,night,182,476,363,18:00 - 19:59,5,75,0
826,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,10,2022-03-22,7:00:00 PM,2022,Mar,3,22,Tuesday,night,182,476,363,18:00 - 19:59,5,75,0
827,Denmark Volleyligaen Women,3,Denmark,Europe,10,2022-03-22,6:15:00 PM,2022,Mar,3,22,Tuesday,night,182,476,363,18:00 - 19:59,5,75,0
828,Denmark Volleyligaen Women,3,Denmark,Europe,10,2022-03-22,7:00:00 PM,2022,Mar,3,22,Tuesday,night,182,476,363,18:00 - 19:59,5,75,0
829,Denmark Volleyligaen,2,Denmark,Europe,5,2021-03-23,6:30:00 PM,2021,Mar,3,23,Tuesday,night,182,476,363,18:00 - 19:59,1,21,0
830,France Ligue A,1,France,Europe,5,2021-03-19,6:00:00 PM,2021,Mar,3,19,Friday,night,209,476,363,18:00 - 19:59,4,25,1
831,France Ligue A,1,France,Europe,5,2021-03-19,7:00:00 PM,2021,Mar,3,19,Friday,night,209,476,363,18:00 - 19:59,4,25,0
832,France Ligue A Women,1,France,Europe,5,2021-03-19,7:30:00 PM,2021,Mar,3,19,Friday,night,209,476,363,18:00 - 19:59,4,25,0
833,Austria League Women,3,Austria,Europe,5,2021-03-19,6:00:00 PM,2021,Mar,3,19,Friday,night,209,476,363,18:00 - 19:59,4,25,0
834,France Ligue A Women,1,France,Europe,7,2022-03-18,7:00:00 PM,2022,Mar,3,18,Friday,night,209,476,363,18:00 - 19:59,2,102,0
835,Portugal Cup Women,4,Portugal,Europe,7,2022-03-18,6:00:00 PM,2022,Mar,3,18,Friday,night,209,476,363,18:00 - 19:59,2,102,1
836,Slovenia 1. Dol Playoffs,3,Slovenia,Europe,6,2021-03-22,7:30:00 PM,2021,Mar,3,22,Monday,night,53,476,363,18:00 - 19:59,2,10,1
837,UNIQA Extraliga,3,Czech Republic,Europe,6,2021-03-22,7:20:00 PM,2021,Mar,3,22,Monday,night,53,476,363,18:00 - 19:59,2,10,0
838,Sweden Eliteserien,2,Sweden,Europe,6,2020-11-26,6:00:00 PM,2020,Nov,4,26,Thursday,night,110,388,299,18:00 - 19:59,2,18,1
839,Denmark Volleyligaen,2,Denmark,Europe,6,2020-11-26,6:45:00 PM,2020,Nov,4,26,Thursday,night,110,388,299,18:00 - 19:59,2,18,0
840,Belgium Cup,3,Belgium,Europe,6,2021-11-25,7:30:00 PM,2021,Nov,4,25,Thursday,night,110,388,299,18:00 - 19:59,1,55,0
841,Portugal I Diviṣo,4,Portugal,Europe,7,2021-11-28,6:00:00 PM,2021,Nov,4,28,Sunday,night,94,388,299,18:00 - 19:59,3,75,0
842,Portugal I Diviṣo Women,4,Portugal,Europe,7,2021-11-28,6:00:00 PM,2021,Nov,4,28,Sunday,night,94,388,299,18:00 - 19:59,3,75,0
843,Portugal I Diviṣo Women,4,Portugal,Europe,7,2021-11-28,6:00:00 PM,2021,Nov,4,28,Sunday,night,94,388,299,18:00 - 19:59,3,75,0
844,Italy Serie A3,3,Italy,Europe,4,2020-11-29,6:00:00 PM,2020,Nov,4,29,Sunday,night,94,388,299,18:00 - 19:59,1,67,1
845,Italy Serie A3,3,Italy,Europe,7,2021-11-27,7:30:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
846,Portugal I Diviṣo,4,Portugal,Europe,7,2021-11-27,6:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,1
847,Portugal I Diviṣo,4,Portugal,Europe,7,2021-11-27,6:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
848,France Ligue A,1,France,Europe,7,2021-11-27,6:30:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
849,France Ligue A,1,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,1
850,France Ligue A,1,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
851,France Ligue B,3,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
852,France Ligue B,3,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
853,France Ligue B,3,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,1
854,France Ligue A Women,1,France,Europe,7,2021-11-27,6:30:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
855,France Ligue A Women,1,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
856,France Ligue A Women,1,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,1
857,France Ligue A Women,1,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
858,France Ligue A Women,1,France,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
859,Belgium Liga A,2,Belgium,Europe,7,2021-11-27,7:30:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
860,Belgium Liga A,2,Belgium,Europe,7,2021-11-27,7:30:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
861,Austria League Women,3,Austria,Europe,7,2021-11-27,6:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
862,Austria League,2,Austria,Europe,7,2021-11-27,6:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
863,Slovakia Extraliga Women,3,Slovakia,Europe,7,2021-11-27,6:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
864,Slovenia 1A. Dol Women,3,Slovenia,Europe,7,2021-11-27,6:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
865,Slovenia 1A. Dol Women,3,Slovenia,Europe,7,2021-11-27,6:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
866,Slovenia 1A. Dol,3,Slovenia,Europe,7,2021-11-27,6:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
867,Slovenia 1A. Dol,3,Slovenia,Europe,7,2021-11-27,7:00:00 PM,2021,Nov,4,27,Saturday,night,828,388,299,18:00 - 19:59,23,272,0
868,Italy Serie A3,3,Italy,Europe,5,2020-11-28,7:30:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
869,Italy Serie A3,3,Italy,Europe,5,2020-11-28,7:30:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
870,France Ligue A,1,France,Europe,5,2020-11-28,6:30:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
871,France Ligue A,1,France,Europe,5,2020-11-28,7:00:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
872,France Ligue A Women,1,France,Europe,5,2020-11-28,6:00:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
873,Belgium Liga A,2,Belgium,Europe,5,2020-11-28,6:30:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,1
874,Belgium Liga A,2,Belgium,Europe,5,2020-11-28,6:30:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,1
875,Belgium Liga A,2,Belgium,Europe,5,2020-11-28,7:30:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
876,Austria League Women,3,Austria,Europe,5,2020-11-28,6:30:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
877,Austria League,2,Austria,Europe,5,2020-11-28,6:00:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
878,Austria League,2,Austria,Europe,5,2020-11-28,6:00:00 PM,2020,Nov,4,28,Saturday,night,828,388,299,18:00 - 19:59,17,183,0
