,match_id,venue_id,league,classification,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,2h_interval,GLnum_matches_interval,Totalnum_matches_interval,issue
27,33233130,140335,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,2:30:00 AM,2021,Jun,1,6,Sunday,early morning,9,19,21,2:00 - 3:59,6,9,0
28,33233145,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,2:30:00 AM,2021,Jun,1,6,Sunday,early morning,9,19,21,2:00 - 3:59,6,9,0
29,33232950,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,2:30:00 AM,2021,Jun,1,6,Sunday,early morning,9,19,21,2:00 - 3:59,6,9,0
30,33232965,140296,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,2:30:00 AM,2021,Jun,1,6,Sunday,early morning,9,19,21,2:00 - 3:59,6,9,0
31,50616480,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,8,2022-06-04,3:20:00 AM,2022,Jun,1,4,Saturday,early morning,9,19,21,2:00 - 3:59,7,77,1
32,50635545,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,8,2022-06-04,3:20:00 AM,2022,Jun,1,4,Saturday,early morning,9,19,21,2:00 - 3:59,7,77,0
33,50675745,140387,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,8,2022-06-04,3:20:00 AM,2022,Jun,1,4,Saturday,early morning,9,19,21,2:00 - 3:59,7,77,1
34,50565660,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,3:20:00 AM,2022,Jun,1,4,Saturday,early morning,9,19,21,2:00 - 3:59,7,77,0
35,33174930,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,2:30:00 AM,2021,Jun,1,5,Saturday,early morning,9,19,21,2:00 - 3:59,9,14,0
36,33175140,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,2:30:00 AM,2021,Jun,1,5,Saturday,early morning,9,19,21,2:00 - 3:59,9,14,0
37,33174135,140309,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,2:30:00 AM,2021,Jun,1,5,Saturday,early morning,9,19,21,2:00 - 3:59,9,14,0
38,33169905,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,2:30:00 AM,2021,Jun,1,5,Saturday,early morning,9,19,21,2:00 - 3:59,9,14,1
